Asset_Sub_Type,Elements
Wall,Glass Panel Frame
Wall,Ground Anchors
Wall,Landward Face
Wall,Landward Toe
Wall,Piling
Wall,Property Level Resilience
Wall,Seals
Wall,Sheet Piling
Wall,Shore
Wall,Splash Deck
Wall,Splash Wall
Warning Flag,Flag
Warning Flag,Post
Water Baffles,Baffles
Water Baffles,Channel
Water Baffles,Treads and Risers
Water Distribution Pipeline,Foundation
Water Distribution Pipeline,Isolation Flange
Water Distribution Pipeline,Maintenance Hole
Water Distribution Pipeline,Pipe Flange
Water Distribution Pipeline,Pipe Sleeve
Water Distribution Pipeline,Pipe T Piece
Water Distribution Pipeline,Pipe Valve
Water Distribution Pipeline,Pipework
Water Distribution Pipeline,Seals
Water Distribution Pipeline,Treads and Risers
Water Storage Area,Access Strip
Water Storage Area,Animal Grid
Water Storage Area,Channel Bed
Water Storage Area,Fish Guidance and Deterrents
Water Storage Area,Grassed Elements
Water Storage Area,Habitat Enhancement
Water Storage Area,Inlet
Water Storage Area,Ladder
Water Storage Area,Outlet
Water Storage Area,Planted Elements
Water Storage Area,Pontoon
Water Storage Area,Vegetation Cover
Watermill,Alternator
Watermill,Ceiling
Watermill,Climate Control
Watermill,Doors and Windows
Watermill,External Features
Watermill,Fire Protection
Watermill,Floor
Watermill,Foundation
Watermill,Frame
Watermill,Fuel Cell
Watermill,Hydro Turbine
Watermill,Internal Features
Watermill,Lighting
Watermill,Roller Shutters
Watermill,Roof
Watermill,Security Camera
Watermill,Solar Panel
Watermill,Treads and Risers
Watermill,Uninterruptible Power Supply
Watermill,Water Wheel
Weir,Access Point
Weir,Access Strip
Weir,Actuator
Weir,Apron
Weir,Bearing Piling
Weir,Capping Beam
Weir,Central Support Structure
Weir,Crest
Weir,Datum Plates and Markers
Weir,Davit
Weir,Daymark
Weir,Downstream Face
Weir,Drive Assembly
Weir,Expansion Joint
Weir,Exposed Face
Weir,Gantry
Weir,Guide Pile
Weir,Ladder
Weir,Left Bank Wall
Weir,Mooring Point
Weir,Navigation Light
Weir,Paddles and Rymers
Weir,Pile Capping
Weir,Piling
Weir,Right Bank Wall
Weir,Sheet Piling
Weir,Stoplogs and Lasherboards
Weir,Treads and Risers
Weir,Upstream Face
Weir,Waling
Weir,Weir Plate
Well,Access Point
Well,Access Strip
Well,Chamber
Well,Equipment Housing
Well,Fixings
Well,Inlet
Well,Internal Features
Well,Ladder
Well,Maintenance Hole
Well,Outlet
Well,Padlock or Lock
Well,Pipe
Well,Pipework
Well,Pump Out Point
Well,Seals
Well,Treads and Risers
Wind Power Generator,Access Strip
Wind Power Generator,Alternator
Wind Power Generator,Cable and Pipe Management
Wind Power Generator,Common Controls
Wind Power Generator,Control Equipment
Wind Power Generator,Distribution Board
Wind Power Generator,Distribution Network Operator Feeder
Wind Power Generator,Drive Assembly
Wind Power Generator,Electrical System
Wind Power Generator,Electricity Meter
Wind Power Generator,Electricity Sub Meter
Wind Power Generator,Equipment Housing
Wind Power Generator,Foundation
Wind Power Generator,Incomer
Wind Power Generator,Ladder
Wind Power Generator,Mast
Wind Power Generator,Starter
Wind Power Generator,Transformer
Wind Power Generator,Wind Turbine
Promenade,Splash Wall
Promenade,Exposed Toe
Promenade,Exposed Face
Promenade,Shore
Engineered High Ground,Toe Protection
